title,filename,difficulty,total_notes,duration,peak_density,mean_density,peak_scratch_density,bpm_min,bpm_max,bpm_ratio,rand,doji,kdan,tril,tate,sara,cnbs,total,notes,oabmb,cpi_easy,cpi_clear,cpi_hard,cpi_exhard,cpi_fc,bpi_notes,bpi_avg,bpi_wr,bpi_coef,bpi_at_aaa,bpi_at_9444
イザナミノナゲキ,_izanami,A,1661,118.46,21.2,13.9193,2.0,195.0,195.0,1.0,42.9,66.2,42.5,2.8,21.9,3.0,14.2,193.5,1645,1222.5,1366.35,1479.24,1541.75,1797.78,2247.19,1661.0,2940.0,3308.0,0.714675,3.6283,33.8102
栄冠のカンパネラ,_eikan_c,A,2000,116.76,28.4,17.0684,2.4,185.0,185.0,1.0,71.2,86.2,66.9,21.7,29.6,2.6,104.5,382.7,1855,1327.5,1690.29,1757.96,1789.97,2082.75,2682.06,2000.0,3144.0,3982.0,0.754862,26.1777,45.1064
駅猫のワルツ,_ekineko,A,1511,105.32,22.0,14.1868,2.8,282.0,282.0,1.0,74.7,28.6,82.8,28.2,45.0,10.3,0.0,269.6,1511,1155.5,1676.02,1743.94,1757.46,2202.67,3127.0,1558.0,2301.0,2983.0,0.865559,52.118,87.0347
ΕΛΠΙΣ,_elpis,A,1599,112.54,19.8,14.0319,1.4,175.0,175.0,1.0,108.4,38.4,95.3,4.3,19.7,2.4,12.5,281.0,1588,1194.0,1281.03,1369.91,1423.98,1645.64,1958.94,1600.0,2814.0,3188.0,0.784254,5.2449,30.8263
焔極OVERKILL,_enkyoku,A,1901,121.33,25.4,15.4656,9.6,192.0,192.0,1.0,56.5,53.8,56.8,17.7,36.5,24.3,0.0,245.6,1901,1350.5,1680.65,1733.29,1742.35,2111.52,2809.18,1901.0,3043.0,3754.0,0.710711,33.1796,57.7616
Ōu Legends,_oulgnds,A,1687,116.86,19.2,14.3385,2.0,191.0,191.0,1.0,52.4,58.3,52.1,9.2,25.0,6.9,42.9,246.8,1614,1207.0,1368.9,1479.69,1532.37,1824.76,2407.35,1687.0,2904.0,3350.0,0.681514,17.2547,44.8197
お米の美味しい炊き方、そしてお米を食べることによるその効果。,_howrice,X,1109,116.21,13.0,9.4667,3.0,190.0,190.0,1.0,30.2,18.2,32.0,16.9,26.8,13.0,0.0,137.1,1109,954.5,1709.03,1756.08,1766.45,2045.09,2660.54,1907.0,2919.0,3777.0,0.873781,28.1605,49.9714
音楽,_ongaku,A,1455,115.11,32.0,13.9885,1.0,120.0,360.0,3.0,51.5,67.7,47.4,33.1,125.7,0.9,0.0,326.3,1455,1127.5,1645.22,1704.87,1732.27,2069.1,2692.29,1487.0,2255.0,2911.0,0.806288,39.7641,66.425
カゴノトリ～弐式～,_kagono,A,1182,123.43,21.6,9.5113,1.0,140.0,140.0,1.0,67.4,50.7,63.3,41.1,61.2,1.1,0.0,284.8,1182,991.0,1372.45,1427.55,1450.83,1673.17,1922.21,1325.0,2406.0,2650.0,0.531934,,
カジノファイヤーことみちゃん,_casino,X,1275,111.65,17.0,11.3554,6.6,230.0,230.0,1.0,12.2,36.9,19.5,0.0,4.6,28.6,22.6,124.4,1245,1022.5,1514.4,1689.31,1780.73,2179.6,2883.76,,,,,,
仮想空間の旅人たち,_travels,X,1943,124.07,26.4,15.9669,1.6,151.0,151.0,1.0,93.3,88.6,84.0,33.5,34.6,1.8,0.0,335.8,1943,1371.5,1582.15,1594.32,1598.75,1813.82,2132.82,1943.0,3474.0,3885.0,0.537369,-7.4036,30.1274
仮想空間の旅人たち†,_travell,A,1943,124.07,26.4,15.9669,1.6,151.0,151.0,1.0,93.3,88.6,84.0,33.5,34.6,1.8,0.0,335.8,1943,1371.5,1582.15,1594.32,1598.75,1813.82,2132.82,1943.0,3474.0,3885.0,0.537369,-7.4036,30.1274
華蝶風雪,_kachofu,X,1483,123.02,16.2,11.9452,2.2,199.0,199.0,1.0,24.6,55.1,15.6,1.7,28.1,3.8,0.0,128.9,1483,1141.5,1381.6,1462.88,1515.41,1770.26,2283.33,2024.0,3713.0,4025.0,0.944892,-12.4414,16.5056
がっつり陰キャ!?怪盗いいんちょの億劫^^;,_gatturi,A,2009,116.76,23.8,18.7009,3.2,185.0,185.0,1.0,81.6,67.8,81.2,25.9,38.9,11.2,0.0,306.6,2009,1404.5,1628.72,1680.57,1704.14,1969.08,2489.44,2192.0,3459.0,4345.0,0.945932,22.0214,44.1048
神っぽいな,_kamipoi,X,1578,106.48,21.8,14.7196,5.0,142.0,142.0,1.0,80.3,64.6,74.7,25.5,28.0,25.4,0.0,298.5,1578,1189.0,1357.68,1473.22,1536.83,1841.79,2464.61,,,,,,
