title,filename,difficulty,total_notes,duration,peak_density,mean_density,peak_scratch_density,bpm_min,bpm_max,bpm_ratio,rand,doji,kdan,tril,tate,sara,cnbs,total,notes,oabmb,cpi_easy,cpi_clear,cpi_hard,cpi_exhard,cpi_fc
BabeL ～Grand Story～,babel_gs,A,1409,120.37,18.4,11.6066,2.2,163.0,163.0,1.0,77.1,55.5,72.3,11.2,5.7,7.2,11.1,240.1,1394,1097.0,,,,,
Bahram Attack-猫叉Master Remix-,bahram,X,1282,131.61,14.6,9.84,1.0,155.0,155.0,1.0,42.9,48.2,37.9,7.3,20.2,2.1,0.0,158.6,1282,1041.0,,,,,
Bang-Boo Bumble,bang_boo,A,1479,125.09,17.0,11.7222,2.2,165.0,165.0,1.0,43.4,53.5,31.7,5.0,12.7,6.4,11.1,163.8,1458,1129.0,,,,,
Bang Bang Dance,bangdanc,A,1415,121.54,17.6,11.5803,5.4,156.0,156.0,1.0,82.9,28.6,62.4,18.3,31.6,11.9,2.0,237.7,1412,1106.0,,,,,
Banger Banger Banger Banger,bangerx4,A,1497,115.03,18.8,12.8517,3.6,190.0,190.0,1.0,40.9,38.9,47.0,9.6,14.9,14.0,0.0,165.3,1497,1148.5,,,,,
Battle Train-IIDX Edition-,btltrain,A,1598,123.09,17.8,12.8371,1.6,160.0,160.0,1.0,93.1,36.0,78.2,25.8,56.1,3.3,0.0,292.5,1598,1199.0,,,,,
Battleground,btground,A,1335,122.18,18.0,10.8374,2.8,165.0,165.0,1.0,60.2,35.6,49.5,8.7,26.7,9.4,0.0,190.1,1335,1067.5,,,,,
BattleRoyal,btlroyal,A,1330,117.7,15.4,11.1729,5.2,150.0,150.0,1.0,54.5,38.0,45.3,7.0,46.3,14.4,28.7,234.2,1301,1050.5,,,,,
Be a Hero!,b_a_hero,A,1389,125.05,15.4,10.9714,3.0,190.0,190.0,1.0,47.5,25.2,43.4,22.5,29.2,14.4,0.0,182.2,1389,1094.5,,,,,
Be A Star,b_a_star,A,1392,118.62,16.2,11.6101,2.6,174.0,174.0,1.0,35.8,61.4,34.6,8.0,21.1,4.6,0.0,165.5,1392,1096.0,,,,,
Be OK,be_ok,X,1017,118.5,12.2,8.4756,1.6,160.0,160.0,1.0,43.7,29.4,30.1,6.5,27.5,5.5,0.0,142.7,1017,908.5,,,,,
Beastie Starter,beastie,A,1075,107.45,17.2,9.9019,3.0,190.0,190.0,1.0,15.2,20.6,26.0,53.0,100.3,10.8,0.0,225.9,1075,937.5,,,,,
Beat Juggling Mix,beatjugg,A,956,117.3,17.2,8.1709,7.4,66.0,198.0,3.0,7.2,34.5,12.2,14.7,25.1,54.6,0.0,148.3,956,878.0,,,,,
Believe In Me,believme,A,1213,117.26,16.4,10.2186,2.4,170.0,170.0,1.0,39.6,37.9,30.4,5.0,21.2,5.2,0.0,139.3,1213,1006.5,,,,,
Beyond The Earth,beyond_p,A,1625,133.71,16.8,12.0582,3.0,140.0,140.0,1.0,63.9,58.0,57.0,18.1,41.7,11.8,0.0,250.5,1625,1212.5,,,,,
Beyond The Seven,beyond_7,A,1297,116.73,16.4,10.959,1.2,142.0,142.0,1.0,64.9,53.7,56.6,15.0,29.4,4.4,0.0,224.0,1297,1048.5,,,,,
Blame,blame,A,429,105.29,11.2,5.159,0.8,155.0,155.0,1.0,49.2,29.3,45.6,28.5,72.0,3.1,0.0,227.7,429,429,,,,,
Blaze it UP!,blazitup,A,1428,124.8,16.0,11.3616,3.0,175.0,175.0,1.0,28.6,52.3,22.3,4.3,13.7,9.5,5.9,136.6,1423,1111.5,,,,,
"Blind Justice～Torn souls,Hurt Faiths～",blindjus,A,1230,126.17,16.8,9.6819,1.6,120.0,165.0,1.375,41.0,48.1,21.7,2.6,18.3,2.2,0.0,133.9,1230,1015.0,,,,,
Bling-Bang-Bang-Born,blingbbb,X,1105,91.72,18.0,11.987,9.4,157.0,157.0,1.0,15.3,35.7,13.8,8.9,19.6,78.2,0.0,171.5,1105,952.5,,,,,
BLOCKS,blocks,A,990,98.72,20.4,9.9919,1.0,141.0,141.0,1.0,63.9,42.1,50.0,36.3,57.4,2.1,0.0,251.8,990,895.0,,,,,
