title,filename,difficulty,total_notes,duration,peak_density,mean_density,peak_scratch_density,bpm_min,bpm_max,bpm_ratio,rand,doji,kdan,tril,tate,sara,cnbs,total,notes,oabmb,cpi_easy,cpi_clear,cpi_hard,cpi_exhard,cpi_fc
Little Little Princess,littlepr,A,1869,130.59,24.8,14.2504,1.8,180.0,212.0,1.1778,35.4,74.6,29.3,6.1,22.9,5.3,0.0,173.6,1869,1334.5,1501.40,1554.94,1572.40,1849.71,2334.62
Lost Souls,lostsoul,A,2000,105.16,28.6,18.734,3.0,185.0,185.0,1.0,80.6,89.6,83.5,35.7,25.8,4.6,0.0,319.8,2000,1400.0,1769.74,1792.44,1794.53,2037.84,2555.71
Marie Antoinette,marieant,A,1287,125.96,14.8,10.1175,1.8,120.0,248.0,2.0667,19.1,44.9,19.5,3.8,20.8,6.2,0.0,114.3,1287,1043.5,1619.65,1645.23,1654.69,1981.58,2449.72
Nothing but Theory,nbtheory,A,1424,123.0,16.2,11.4774,2.6,160.0,160.0,1.0,62.3,46.0,50.4,7.2,27.4,6.8,0.6,200.7,1423,1111.5,1353.73,1428.57,1474.90,1725.47,2136.01
Override,override,A,2201,119.31,26.0,18.3067,3.4,175.0,175.0,1.0,82.6,81.4,81.5,21.7,39.8,8.3,0.0,315.3,2201,1500.5,1694.44,1722.20,1727.48,1981.45,2541.52
QUANTUM TELEPORTATION,quantum,A,1650,127.89,23.4,13.1728,1.4,152.0,152.0,1.0,97.3,60.5,89.1,21.1,36.0,5.6,0.0,309.6,1650,1225.0,1527.90,1581.32,1605.26,1840.90,2193.11
RED ZONE,redzone,A,1439,106.18,18.4,14.9688,2.8,165.0,165.0,1.0,62.8,65.4,58.2,12.1,25.5,7.8,1.7,233.5,1438,1119.0,1290.20,1409.53,1471.74,1747.33,2152.04
REVOLVER,revolver,A,1655,105.0,23.2,15.7219,2.8,160.0,160.0,1.0,77.7,56.0,72.1,6.1,24.0,10.0,69.4,315.3,1530,1165.0,1628.65,1695.13,1712.50,2020.36,2694.60
SAMURAI-Scramble,samurais,A,1219,126.5,17.0,9.5118,7.2,150.0,150.0,1.0,10.3,27.6,18.5,14.6,31.7,69.2,0.0,171.9,1219,1009.5,1887.17,2002.95,2049.01,2571.59,2977.56
Saturn,saturn,A,1247,109.94,15.6,11.3036,1.4,155.0,155.0,1.0,65.9,48.6,50.9,4.6,55.4,3.2,0.0,228.6,1247,1023.5,1683.10,1725.22,1737.21,2089.20,2777.25
Scripted Connection⇒ H mix,script_h,A,1126,109.77,17.4,10.2926,1.6,151.0,151.0,1.0,78.0,34.3,64.3,26.2,55.4,5.9,0.0,264.1,1126,963.0,1341.85,1463.33,1508.95,1804.43,2277.66
Secrets,secrets,A,1478,118.4,16.2,12.3782,2.8,150.0,150.0,1.0,62.0,54.0,50.9,14.7,33.1,11.5,0.0,226.2,1478,1139.0,1604.15,1659.66,1682.67,1962.55,2451.03
SOLID WYVERN,slwyvern,A,1999,106.27,24.8,18.5439,5.0,165.0,165.0,1.0,99.2,72.1,102.6,44.1,36.9,11.2,1.6,367.7,1997,1398.5,1635.78,1665.39,1670.49,1924.57,2387.44
spiral galaxy,spiral,A,1260,126.33,16.0,9.8488,1.6,154.0,154.0,1.0,64.0,25.4,55.2,31.5,52.4,3.9,0.0,232.4,1260,1030.0,1464.19,1507.89,1526.42,1772.14,2051.99
STARLIGHT DANCEHALL,starltdh,A,1683,111.27,21.2,14.9464,6.4,177.0,177.0,1.0,51.0,63.2,46.9,7.4,21.6,25.8,0.0,215.9,1683,1241.5,1502.81,1569.99,1592.47,1878.45,2391.05
STEEL NEEDLE,stneedle,A,1180,114.8,18.0,10.1513,2.2,205.0,205.0,1.0,26.2,36.9,33.7,24.7,53.0,8.4,0.0,182.9,1180,990.0,1545.73,1674.95,1756.25,2035.85,2541.85
THE DEEP STRIKER,tdeepstr,A,1528,118.01,18.2,12.7731,2.8,173.0,173.0,1.0,62.1,60.6,53.3,15.1,17.2,10.1,0.0,218.4,1528,1164.0,1468.60,1552.95,1585.74,1879.85,2394.85
Time to Air,time2air,A,1458,113.17,20.8,12.7246,3.2,191.0,191.0,1.0,15.1,64.3,11.8,5.1,24.5,10.1,0.0,130.9,1458,1129.0,1786.11,1822.44,1828.70,2207.30,2799.66
TRANOID,tranoid,A,999,90.66,18.6,10.9319,1.6,120.0,190.0,1.5833,55.7,41.6,68.6,35.5,54.2,4.9,34.5,295.0,974,887.0,1749.30,1793.42,1803.27,2090.25,2621.56
Übertreffen,ubertref,A,1280,93.79,17.4,13.5702,2.6,174.0,174.0,1.0,79.9,32.0,79.7,7.9,25.2,4.7,0.0,229.4,1280,1040.0,1500.15,1575.66,1611.82,1854.53,2226.75
waxing and wanding,waxing,A,2000,114.35,28.4,18.0945,3.0,191.0,191.0,1.0,47.6,105.8,36.7,3.5,8.9,5.2,0.0,207.7,2000,1400.0,1620.62,1644.82,1651.13,1884.57,2255.32
Ypsilon,ypsilon,A,1796,114.09,20.8,16.0955,1.8,160.0,160.0,1.0,91.7,60.8,82.5,21.6,31.3,5.2,0.0,293.1,1796,1298.0,1433.96,1504.07,1535.39,1786.19,2172.63
ZEPHYRANTHES,zephyran,A,1445,122.67,16.6,11.7203,2.4,180.0,180.0,1.0,73.2,26.1,56.8,16.2,26.3,6.4,3.1,208.1,1442,1121.0,1590.17,1642.30,1654.93,1920.91,2416.13
カジノファイヤーことみちゃん,_casino,A,1275,111.65,17.0,11.3554,6.6,230.0,230.0,1.0,12.2,36.9,19.5,0.0,4.6,28.6,22.6,124.4,1245,1022.5,1514.40,1689.31,1780.73,2179.60,2883.76
仮想空間の旅人たち,_travels,A,1943,124.07,26.4,15.9669,1.6,151.0,151.0,1.0,93.3,88.6,84.0,33.5,34.6,1.8,0.0,335.8,1943,1371.5,1582.15,1594.32,1598.75,1813.82,2132.82
華蝶風雪,_kachofu,A,1483,123.02,16.2,11.9452,2.2,199.0,199.0,1.0,24.6,55.1,15.6,1.7,28.1,3.8,0.0,128.9,1483,1141.5,1381.60,1462.88,1515.41,1770.26,2283.33
君のハートにロックオン,_klockon,A,1336,120.06,16.2,10.9769,1.6,260.0,260.0,1.0,87.2,25.0,86.1,7.9,18.3,5.4,0.0,229.9,1336,1068.0,1607.87,1675.69,1693.64,1982.81,2570.56
グッバイ宣言,_goodbys,A,1849,120.0,18.6,15.2777,3.4,170.0,170.0,1.0,47.4,81.2,40.9,3.2,13.9,11.8,23.3,221.7,1807,1303.5,1396.62,1471.52,1512.34,1771.44,2254.27
#The_Relentless,_therele,A,1444,125.74,16.4,11.373,2.6,170.0,170.0,1.0,51.4,41.0,30.9,9.0,29.9,9.5,9.1,180.8,1426,1113.0,1745.60,1780.54,1790.72,2077.68,2723.71
超青少年ノ為ノ超多幸ナ超古典的超舞曲,_verycls,A,2092,120.0,25.8,17.2347,1.2,150.0,150.0,1.0,94.8,84.5,106.3,80.3,106.7,1.3,0.0,473.9,2092,1446.0,1634.84,1676.21,1692.29,1993.93,2779.46
ハイテックトキオ,_hitokio,A,1639,117.91,19.0,13.7898,3.8,165.0,165.0,1.0,83.8,44.9,74.1,3.7,18.9,7.4,25.2,258.0,1600,1200.0,1411.32,1506.54,1548.39,1875.08,2468.70
フォニイ,_phony,A,1975,122.82,19.4,16.039,1.2,170.0,170.0,1.0,75.6,87.3,64.9,7.1,15.2,2.7,0.0,252.8,1975,1387.5,1332.75,1420.32,1476.54,1719.76,2055.48
龍王の霊廟(Mausoleum Of The Primal Dragon),_mausole,A,2023,126.15,19.6,15.8567,0.8,144.0,144.0,1.0,112.8,70.5,101.3,23.1,45.6,1.5,43.7,398.5,1976,1388.0,1429.45,1504.45,1543.90,1795.25,2251.12
龍と少女とデコヒーレンス,_decoher,A,1648,122.18,21.2,13.3951,2.8,165.0,165.0,1.0,104.3,49.8,102.3,29.1,42.6,4.4,31.0,363.5,1634,1217.0,1503.93,1552.54,1574.63,1802.93,2143.09
A Certified Rave Moment,a_certif,A,1404,123.64,15.6,11.3016,7.8,165.0,165.0,1.0,44.8,38.8,20.1,4.1,14.9,49.7,2.6,175.0,1399,1099.5,,,,,
A Tale Hidden In The Abyss,atalehdn,A,1288,118.47,14.2,11.3345,2.2,216.0,216.0,1.0,24.9,33.7,27.6,4.7,10.8,5.9,20.6,128.2,1271,1035.5,,,,,
Abraxas,abraxas,A,1202,117.91,17.2,10.0661,6.6,165.0,165.0,1.0,60.5,27.2,48.9,27.8,51.9,25.9,13.8,256.0,1183,991.5,,,,,
ABSOLUTE (kors k Remix),abso_k,A,1336,124.59,16.2,10.6256,2.8,160.0,160.0,1.0,44.3,39.2,35.3,6.2,20.6,9.0,53.4,208.0,1277,1038.5,,,,,
Abyss-The Heavens Remix-,abyss_r,X,1133,109.56,15.8,10.1818,2.4,171.0,171.0,1.0,24.6,41.1,24.4,6.1,15.5,6.0,0.0,117.7,1133,966.5,,,,,
ADAMANT,adamant,A,1539,127.2,19.2,12.0016,2.6,200.0,200.0,1.0,32.7,48.2,31.6,10.5,29.8,10.7,45.6,209.1,1482,1141.0,,,,,
Aegis,aegis,A,1198,103.33,17.6,11.4192,2.0,162.0,162.0,1.0,53.0,40.9,37.5,9.5,36.4,11.6,24.3,213.2,1180,990.0,,,,,
AFRO KNUCKLE,afroknuc,A,1159,122.48,16.6,9.3512,4.0,145.0,145.0,1.0,40.3,42.5,23.5,2.3,43.3,13.1,0.0,165.0,1159,979.5,,,,,
Afterimage d'automne,afterimg,A,1354,118.97,17.6,11.6603,1.6,232.0,232.0,1.0,21.4,58.1,26.9,6.0,14.2,5.3,41.2,173.1,1320,1060.0,,,,,
AGEHA,ageha,X,1232,120.0,18.2,10.1785,3.0,180.0,180.0,1.0,23.3,46.7,20.2,0.0,4.6,11.3,33.9,140.0,1198,999.0,,,,,
Ah Hah Yeah,ahahyeah,A,1108,106.41,17.2,10.286,3.6,115.0,230.0,2.0,22.6,54.9,19.3,11.2,19.8,17.5,0.0,145.3,1108,954.0,,,,,
All is Wrecked,allwreck,A,1136,104.47,16.6,10.8558,1.8,170.0,170.0,1.0,48.7,42.5,50.6,14.8,35.9,3.4,0.0,195.9,1136,968.0,,,,,
ALL MY TURN-このターンに、オレの全てを賭ける-,almyturn,A,1149,115.76,16.0,10.0158,2.0,170.0,170.0,1.0,60.8,35.9,56.0,30.3,51.2,5.5,0.0,239.7,1149,974.5,,,,,
Ambush Ace,ambush_a,A,1492,112.41,16.6,13.177,1.0,158.0,158.0,1.0,74.2,56.4,57.2,6.0,18.5,2.5,16.2,231.0,1468,1134.0,,,,,
Amethyst,amethyst,A,1322,122.42,16.8,10.6927,3.2,155.0,155.0,1.0,72.4,31.9,63.7,4.4,23.0,7.3,0.0,202.7,1322,1061.0,,,,,
Amnolys,amnolys,A,1335,118.0,17.0,11.1899,2.0,120.0,180.0,1.5,42.4,58.7,38.9,4.6,14.4,5.1,0.0,164.1,1335,1067.5,,,,,
Amor De Verão,amrverao,A,1193,116.52,12.8,10.1248,2.0,138.0,138.0,1.0,60.1,40.8,34.9,6.7,54.9,9.0,0.0,206.4,1193,996.5,,,,,
AMRITA -不滅ノ花-,amrita,A,1398,118.42,15.2,11.684,1.8,152.0,152.0,1.0,62.3,38.8,48.9,19.4,36.2,6.6,9.8,222.0,1380,1090.0,,,,,
ANDROMEDA,andromed,A,1393,129.7,16.6,10.5969,0.8,150.0,150.0,1.0,82.2,39.4,61.1,22.7,45.2,1.8,0.0,252.4,1393,1096.5,,,,,
Angelic Jelly,angjelly,A,1363,115.2,20.8,11.6621,3.2,200.0,200.0,1.0,28.9,43.4,31.7,32.6,56.3,8.2,0.0,201.1,1363,1081.5,,,,,
ANTHEM LANDING,anthemld,A,0,0.0,0.0,0.0,0.0,151.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,,,,
apo:llioth,apolioth,A,1498,128.47,16.6,11.5426,8.2,200.0,200.0,1.0,23.3,46.2,20.0,3.3,13.4,22.5,0.0,128.7,1498,1149.0,,,,,
Around the Future,a_future,A,1211,126.02,15.8,9.5008,4.6,162.0,162.0,1.0,56.4,27.3,33.4,17.7,33.1,19.2,0.0,187.1,1211,1005.5,,,,,
Around The Galaxy,a_glxy24,A,1463,135.83,16.8,10.7393,1.4,145.0,145.0,1.0,92.1,45.7,70.0,21.9,48.1,3.6,0.0,281.4,1463,1131.5,,,,,
AsiaN distractive,asiandst,A,1337,113.61,17.4,11.6719,1.2,120.0,157.0,1.3083,40.6,63.0,37.5,5.5,29.3,3.4,0.0,179.3,1337,1068.5,,,,,
Atröpøs,atropos,A,1158,119.67,16.4,9.7109,3.8,182.0,182.0,1.0,43.7,19.3,34.2,18.9,27.1,12.6,0.0,155.8,1158,979.0,,,,,
Aublia,aublia,A,1299,121.54,15.0,10.7157,3.2,156.0,156.0,1.0,60.1,39.7,53.8,15.4,60.8,6.2,24.9,260.9,1266,1033.0,,,,,
Aurora,aurora,A,1280,112.79,18.0,11.2053,2.8,181.0,181.0,1.0,56.6,42.3,30.7,8.1,13.5,5.8,0.0,157.0,1280,1040.0,,,,,
